EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : wind speed in 0.1 m/s
23-27 Q_FG : Quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121048)
See file sources.txt for more info.



 SOUID,    DATE,   FG, Q_FG
121048,19570701,   29,    0
121048,19570702,   18,    0
121048,19570703,   35,    0
121048,19570704,   34,    0
121048,19570705,   29,    0
121048,19570706,   29,    0
121048,19570707,   35,    0
121048,19570708,   22,    0
121048,19570709,   31,    0
121048,19570710,   26,    0
121048,19570711,   24,    0
121048,19570712,   37,    0
121048,19570713,   20,    0
121048,19570714,   25,    0
121048,19570715,   31,    0
121048,19570716,   28,    0
121048,19570717,   14,    0
121048,19570718,   38,    0
121048,19570719,   34,    0
121048,19570720,   28,    0
121048,19570721,   23,    0
121048,19570722,   35,    0
121048,19570723,   44,    0
121048,19570724,   18,    0
121048,19570725,   40,    0
121048,19570726,   35,    0
121048,19570727,   39,    0
121048,19570728,   33,    0
121048,19570729,   38,    0
121048,19570730,   21,    0
121048,19570731,   16,    0
121048,19570801,   22,    0
121048,19570802,   30,    0
121048,19570803,   26,    0
121048,19570804,   21,    0
121048,19570805,   32,    0
121048,19570806,   22,    0
121048,19570807,   24,    0
121048,19570808,   41,    0
121048,19570809,   45,    0
121048,19570810,   55,    0
121048,19570811,   56,    0
121048,19570812,   40,    0
121048,19570813,   20,    0
121048,19570814,   28,    0
121048,19570815,   41,    0
121048,19570816,   31,    0
121048,19570817,   24,    0
121048,19570818,   28,    0
121048,19570819,   31,    0
121048,19570820,   26,    0
121048,19570821,   30,    0
121048,19570822,   20,    0
121048,19570823,   38,    0
121048,19570824,   53,    0
121048,19570825,   52,    0
121048,19570826,   64,    0
121048,19570827,   22,    0
121048,19570828,   19,    0
121048,19570829,   16,    0
