EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FX   : wind gust in 0.1 m/s
23-27 Q_FX : Quality code for FX (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121049)
See file sources.txt for more info.



 SOUID,    DATE,   FX, Q_FX
121049,19570701,  160,    0
121049,19570702,   47,    0
121049,19570703,  103,    0
121049,19570704,   96,    0
121049,19570705,  104,    0
121049,19570706,   92,    0
121049,19570707,  105,    0
121049,19570708,  159,    0
121049,19570709,  132,    0
121049,19570710,  182,    0
121049,19570711,   80,    0
121049,19570712,  107,    0
121049,19570713,   86,    0
121049,19570714,  152,    0
121049,19570715,   94,    0
121049,19570716,  102,    0
121049,19570717,   67,    0
121049,19570718,   89,    0
121049,19570719,  102,    0
121049,19570720,  129,    0
121049,19570721,   92,    0
121049,19570722,  143,    0
121049,19570723,  125,    0
121049,19570724,   67,    0
121049,19570725,  144,    0
121049,19570726,  133,    0
121049,19570727,  186,    0
121049,19570728,  126,    0
121049,19570729,  101,    0
121049,19570730,   66,    0
121049,19570731,   58,    0
121049,19570801,   69,    0
121049,19570802,   99,    0
121049,19570803,   98,    0
121049,19570804,   81,    0
121049,19570805,   78,    0
121049,19570806,   69,    0
121049,19570807,  108,    0
121049,19570808,  194,    0
121049,19570809,  207,    0
121049,19570810,  179,    0
121049,19570811,  168,    0
121049,19570812,  138,    0
121049,19570813,   89,    0
121049,19570814,   92,    0
121049,19570815,  141,    0
121049,19570816,  109,    0
121049,19570817,  121,    0
121049,19570818,  145,    0
121049,19570819,  101,    0
121049,19570820,   90,    0
121049,19570821,  129,    0
121049,19570822,   91,    0
121049,19570823,   99,    0
121049,19570824,  188,    0
121049,19570825,  188,    0
121049,19570826,  180,    0
121049,19570827,   45,    0
121049,19570828,  103,    0
121049,19570829,   92,    0
121049,19570830,   49,    0
121049,19570831,  128,    0
121049,19570901,   56,    0
121049,19570902,  142,    0
121049,19570903,   41,    0
121049,19570904,   40,    0
121049,19570905,   89,    0
121049,19570906,   53,    0
121049,19570907,   91,    0
121049,19570908,   93,    0
121049,19570909,   58,    0
121049,19570910,   86,    0
121049,19570911,  177,    0
121049,19570912,  252,    0
121049,19570913,  178,    0
121049,19570914,  110,    0
121049,19570915,  142,    0
121049,19570916,  180,    0
121049,19570917,   89,    0
121049,19570918,   70,    0
121049,19570919,   92,    0
121049,19570920,   49,    0
121049,19570921,  121,    0
121049,19570922,   85,    0
121049,19570923,  178,    0
121049,19570924,   99,    0
121049,19570925,   87,    0
121049,19570926,  112,    0
121049,19570927,  136,    0
121049,19570928,  132,    0
121049,19570929,  149,    0
121049,19570930,  121,    0
121049,19571001,   80,    0
121049,19571002,   42,    0
121049,19571003,  109,    0
121049,19571004,   86,    0
121049,19571005,   66,    0
121049,19571006,   41,    0
121049,19571007,   79,    0
121049,19571008,   39,    0
121049,19571009,   44,    0
121049,19571010,   53,    0
121049,19571011,   85,    0
121049,19571012,   72,    0
121049,19571013,   47,    0
121049,19571014,   42,    0
121049,19571015,   99,    0
121049,19571016,  223,    0
121049,19571017,  110,    0
121049,19571018,  150,    0
121049,19571019,  120,    0
121049,19571020,   32,    0
121049,19571021,   93,    0
121049,19571022,  131,    0
121049,19571023,  112,    0
121049,19571024,   81,    0
