EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : humidity in 1 %
23-27 Q_HU : Quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121047)
See file sources.txt for more info.



 SOUID,    DATE,   HU, Q_HU
121047,19570701,-9999,    9
121047,19570702,-9999,    9
121047,19570703,-9999,    9
121047,19570704,-9999,    9
121047,19570705,-9999,    9
121047,19570706,-9999,    9
121047,19570707,-9999,    9
121047,19570708,-9999,    9
121047,19570709,-9999,    9
121047,19570710,-9999,    9
121047,19570711,-9999,    9
121047,19570712,-9999,    9
121047,19570713,-9999,    9
121047,19570714,-9999,    9
121047,19570715,-9999,    9
121047,19570716,-9999,    9
121047,19570717,-9999,    9
121047,19570718,-9999,    9
121047,19570719,-9999,    9
121047,19570720,-9999,    9
121047,19570721,-9999,    9
121047,19570722,-9999,    9
121047,19570723,-9999,    9
121047,19570724,-9999,    9
121047,19570725,-9999,    9
121047,19570726,-9999,    9
121047,19570727,-9999,    9
121047,19570728,-9999,    9
121047,19570729,-9999,    9
121047,19570730,-9999,    9
121047,19570731,-9999,    9
121047,19570801,-9999,    9
121047,19570802,-9999,    9
121047,19570803,-9999,    9
121047,19570804,-9999,    9
121047,19570805,-9999,    9
121047,19570806,-9999,    9
121047,19570807,-9999,    9
121047,19570808,-9999,    9
121047,19570809,-9999,    9
121047,19570810,-9999,    9
121047,19570811,-9999,    9
121047,19570812,-9999,    9
121047,19570813,-9999,    9
121047,19570814,-9999,    9
121047,19570815,-9999,    9
121047,19570816,-9999,    9
121047,19570817,-9999,    9
121047,19570818,-9999,    9
121047,19570819,-9999,    9
121047,19570820,-9999,    9
121047,19570821,-9999,    9
121047,19570822,-9999,    9
121047,19570823,-9999,    9
121047,19570824,-9999,    9
121047,19570825,-9999,    9
121047,19570826,-9999,    9
121047,19570827,-9999,    9
121047,19570828,-9999,    9
121047,19570829,-9999,    9
121047,19570830,-9999,    9
121047,19570831,-9999,    9
121047,19570901,   92,    0
121047,19570902,   83,    0
121047,19570903,   80,    0
121047,19570904,   79,    0
121047,19570905,   87,    0
121047,19570906,   78,    0
121047,19570907,   70,    0
121047,19570908,   90,    0
121047,19570909,   82,    0
121047,19570910,   71,    0
121047,19570911,   82,    0
121047,19570912,   69,    0
121047,19570913,   85,    0
121047,19570914,   84,    0
121047,19570915,   76,    0
121047,19570916,   76,    0
121047,19570917,   97,    0
121047,19570918,   89,    0
121047,19570919,   84,    0
121047,19570920,   85,    0
121047,19570921,   92,    0
121047,19570922,   85,    0
121047,19570923,   84,    0
121047,19570924,   93,    0
121047,19570925,   85,    0
121047,19570926,   77,    0
121047,19570927,   78,    0
121047,19570928,   78,    0
121047,19570929,   90,    0
121047,19570930,   84,    0
121047,19571001,   81,    0
121047,19571002,   87,    0
121047,19571003,   89,    0
121047,19571004,   78,    0
121047,19571005,   79,    0
121047,19571006,   95,    0
121047,19571007,   86,    0
121047,19571008,   81,    0
121047,19571009,   81,    0
121047,19571010,   88,    0
121047,19571011,   85,    0
121047,19571012,   89,    0
121047,19571013,   94,    0
121047,19571014,   86,    0
121047,19571015,   82,    0
121047,19571016,   81,    0
121047,19571017,   78,    0
121047,19571018,   71,    0
121047,19571019,   91,    0
121047,19571020,   78,    0
121047,19571021,   79,    0
121047,19571022,   86,    0
121047,19571023,   79,    0
121047,19571024,   87,    0
121047,19571025,   84,    0
121047,19571026,   81,    0
121047,19571027,   81,    0
121047,19571028,   76,    0
121047,19571029,   76,    0
121047,19571030,   72,    0
121047,19571031,   78,    0
121047,19571101,   72,    0
121047,19571102,   72,    0
121047,19571103,   64,    0
121047,19571104,   61,    0
121047,19571105,   63,    0
121047,19571106,   83,    0
121047,19571107,   91,    0
121047,19571108,   92,    0
121047,19571109,   95,    0
121047,19571110,   87,    0
121047,19571111,   79,    0
121047,19571112,   75,    0
121047,19571113,   74,    0
121047,19571114,   68,    0
121047,19571115,   78,    0
121047,19571116,   81,    0
121047,19571117,   86,    0
121047,19571118,   94,    0
121047,19571119,   75,    0
121047,19571120,   70,    0
121047,19571121,   69,    0
121047,19571122,   87,    0
121047,19571123,   90,    0
121047,19571124,   91,    0
121047,19571125,   88,    0
121047,19571126,   84,    0
121047,19571127,   85,    0
121047,19571128,   83,    0
121047,19571129,   91,    0
121047,19571130,   64,    0
121047,19571201,   71,    0
121047,19571202,   79,    0
121047,19571203,   85,    0
121047,19571204,   93,    0
121047,19571205,   95,    0
121047,19571206,   82,    0
121047,19571207,   88,    0
121047,19571208,   81,    0
121047,19571209,   90,    0
121047,19571210,   75,    0
121047,19571211,   73,    0
121047,19571212,   90,    0
121047,19571213,   85,    0
121047,19571214,   87,    0
121047,19571215,   72,    0
121047,19571216,   79,    0
121047,19571217,   93,    0
121047,19571218,   78,    0
121047,19571219,   91,    0
121047,19571220,   81,    0
121047,19571221,   90,    0
121047,19571222,   88,    0
121047,19571223,   81,    0
121047,19571224,   73,    0
121047,19571225,   79,    0
121047,19571226,   87,    0
121047,19571227,   86,    0
121047,19571228,   90,    0
121047,19571229,   82,    0
121047,19571230,   79,    0
121047,19571231,   80,    0
121047,19580101,   84,    0
121047,19580102,   87,    0
121047,19580103,   83,    0
121047,19580104,   64,    0
121047,19580105,   86,    0
121047,19580106,   80,    0
121047,19580107,   80,    0
121047,19580108,   81,    0
121047,19580109,   77,    0
121047,19580110,   73,    0
121047,19580111,   78,    0
121047,19580112,   92,    0
121047,19580113,   90,    0
121047,19580114,   88,    0
121047,19580115,   94,    0
121047,19580116,   95,    0
121047,19580117,   97,    0
121047,19580118,   78,    0
121047,19580119,   77,    0
121047,19580120,   78,    0
121047,19580121,   76,    0
121047,19580122,   78,    0
121047,19580123,   71,    0
121047,19580124,   86,    0
121047,19580125,   82,    0
121047,19580126,   73,    0
121047,19580127,   89,    0
121047,19580128,   47,    0
121047,19580129,   55,    0
121047,19580130,   74,    0
121047,19580131,   80,    0
121047,19580201,   90,    0
121047,19580202,   77,    0
121047,19580203,   81,    0
121047,19580204,   79,    0
121047,19580205,   77,    0
121047,19580206,   75,    0
121047,19580207,   81,    0
121047,19580208,   88,    0
121047,19580209,   77,    0
121047,19580210,   68,    0
121047,19580211,   82,    0
121047,19580212,   79,    0
121047,19580213,   82,    0
121047,19580214,   70,    0
121047,19580215,   70,    0
121047,19580216,   82,    0
121047,19580217,   74,    0
121047,19580218,   92,    0
121047,19580219,   83,    0
121047,19580220,   84,    0
121047,19580221,   86,    0
121047,19580222,   81,    0
121047,19580223,   95,    0
121047,19580224,   92,    0
121047,19580225,   82,    0
121047,19580226,   84,    0
121047,19580227,   90,    0
121047,19580228,   74,    0
121047,19580301,   71,    0
121047,19580302,   94,    0
121047,19580303,   86,    0
121047,19580304,   84,    0
121047,19580305,   87,    0
121047,19580306,   75,    0
121047,19580307,   93,    0
121047,19580308,   90,    0
121047,19580309,   85,    0
121047,19580310,   91,    0
121047,19580311,   85,    0
121047,19580312,   88,    0
121047,19580313,   91,    0
121047,19580314,   78,    0
121047,19580315,   86,    0
121047,19580316,   75,    0
121047,19580317,   66,    0
121047,19580318,   69,    0
121047,19580319,   84,    0
121047,19580320,   83,    0
121047,19580321,   71,    0
121047,19580322,   70,    0
121047,19580323,   60,    0
121047,19580324,   55,    0
121047,19580325,   52,    0
121047,19580326,   74,    0
121047,19580327,   73,    0
121047,19580328,   73,    0
121047,19580329,   72,    0
121047,19580330,   77,    0
121047,19580331,   69,    0
121047,19580401,   52,    0
121047,19580402,   82,    0
121047,19580403,   61,    0
121047,19580404,   79,    0
121047,19580405,   81,    0
121047,19580406,   94,    0
121047,19580407,   71,    0
121047,19580408,   82,    0
121047,19580409,   78,    0
121047,19580410,   90,    0
121047,19580411,   76,    0
121047,19580412,   58,    0
121047,19580413,   58,    0
121047,19580414,   60,    0
121047,19580415,   57,    0
121047,19580416,   64,    0
121047,19580417,   82,    0
121047,19580418,   79,    0
121047,19580419,   80,    0
121047,19580420,   62,    0
121047,19580421,   64,    0
121047,19580422,   79,    0
121047,19580423,   65,    0
121047,19580424,   50,    0
121047,19580425,   72,    0
121047,19580426,   87,    0
121047,19580427,   75,    0
121047,19580428,   75,    0
121047,19580429,   73,    0
121047,19580430,   69,    0
121047,19580501,   65,    0
121047,19580502,   68,    0
121047,19580503,   62,    0
121047,19580504,   61,    0
121047,19580505,   51,    0
121047,19580506,   83,    0
121047,19580507,   84,    0
121047,19580508,   90,    0
121047,19580509,   80,    0
121047,19580510,   78,    0
121047,19580511,   91,    0
121047,19580512,   86,    0
121047,19580513,   58,    0
121047,19580514,   86,    0
121047,19580515,   87,    0
121047,19580516,   87,    0
121047,19580517,   69,    0
121047,19580518,   78,    0
121047,19580519,   78,    0
121047,19580520,   69,    0
121047,19580521,   74,    0
121047,19580522,   65,    0
121047,19580523,   61,    0
121047,19580524,   86,    0
121047,19580525,   80,    0
121047,19580526,   67,    0
121047,19580527,   74,    0
121047,19580528,   76,    0
121047,19580529,   64,    0
121047,19580530,   77,    0
121047,19580531,   66,    0
121047,19580601,   55,    0
121047,19580602,   53,    0
121047,19580603,   73,    0
121047,19580604,   92,    0
121047,19580605,   76,    0
121047,19580606,   67,    0
121047,19580607,   75,    0
121047,19580608,   68,    0
121047,19580609,   72,    0
121047,19580610,   70,    0
121047,19580611,   59,    0
121047,19580612,   68,    0
121047,19580613,   61,    0
121047,19580614,   66,    0
121047,19580615,   56,    0
121047,19580616,   50,    0
121047,19580617,   65,    0
121047,19580618,   90,    0
121047,19580619,   74,    0
121047,19580620,   94,    0
121047,19580621,   84,    0
121047,19580622,   69,    0
121047,19580623,   70,    0
121047,19580624,   80,    0
121047,19580625,   60,    0
121047,19580626,   90,    0
121047,19580627,   81,    0
121047,19580628,   78,    0
121047,19580629,   80,    0
121047,19580630,   73,    0
121047,19580701,   65,    0
121047,19580702,   88,    0
121047,19580703,   81,    0
