EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : sea level pressure in 0.1 hPa
23-27 Q_PP : Quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121041)
See file sources.txt for more info.



 SOUID,    DATE,   PP, Q_PP
121041,19570901,10185,    0
121041,19570902,10163,    0
121041,19570903,10192,    0
121041,19570904,10226,    0
121041,19570905,10177,    0
121041,19570906,10176,    0
121041,19570907,10140,    0
121041,19570908,10176,    0
121041,19570909,10237,    0
121041,19570910,10196,    0
121041,19570911,10034,    0
121041,19570912,10011,    0
121041,19570913,10028,    0
121041,19570914,10055,    0
121041,19570915,10131,    0
121041,19570916,10177,    0
121041,19570917,10194,    0
121041,19570918,10180,    0
121041,19570919,10131,    0
121041,19570920,10114,    0
121041,19570921,10109,    0
121041,19570922,10102,    0
121041,19570923,10054,    0
121041,19570924,10117,    0
121041,19570925,10181,    0
121041,19570926,10154,    0
121041,19570927,10234,    0
121041,19570928,10188,    0
121041,19570929,10093,    0
121041,19570930,10144,    0
121041,19571001,10204,    0
121041,19571002,10245,    0
121041,19571003,10204,    0
121041,19571004,10253,    0
121041,19571005,10252,    0
121041,19571006,10252,    0
121041,19571007,10249,    0
121041,19571008,10224,    0
121041,19571009,10202,    0
121041,19571010,10197,    0
121041,19571011,10189,    0
121041,19571012,10250,    0
121041,19571013,10250,    0
121041,19571014,10259,    0
121041,19571015,10252,    0
121041,19571016,10187,    0
121041,19571017,10192,    0
121041,19571018,10096,    0
121041,19571019,10083,    0
121041,19571020,10156,    0
121041,19571021,10119,    0
121041,19571022,10031,    0
121041,19571023,10135,    0
121041,19571024,10194,    0
121041,19571025,10234,    0
121041,19571026,10213,    0
121041,19571027,10182,    0
121041,19571028,10184,    0
121041,19571029,10166,    0
121041,19571030,10142,    0
121041,19571031,10137,    0
121041,19571101,10065,    0
121041,19571102,10093,    0
121041,19571103,10062,    0
121041,19571104,10018,    0
121041,19571105, 9983,    0
121041,19571106,10043,    0
121041,19571107,10071,    0
121041,19571108,10083,    0
121041,19571109,10089,    0
121041,19571110,10065,    0
121041,19571111,10124,    0
121041,19571112,10246,    0
121041,19571113,10268,    0
121041,19571114,10256,    0
121041,19571115,10255,    0
121041,19571116,10272,    0
121041,19571117,10277,    0
121041,19571118,10282,    0
121041,19571119,10281,    0
121041,19571120,10322,    0
121041,19571121,10302,    0
121041,19571122,10217,    0
121041,19571123,10262,    0
121041,19571124,10323,    0
121041,19571125,10310,    0
121041,19571126,10299,    0
121041,19571127,10294,    0
121041,19571128,10265,    0
121041,19571129,10254,    0
121041,19571130,10336,    0
121041,19571201,10342,    0
121041,19571202,10339,    0
121041,19571203,10330,    0
121041,19571204,10316,    0
121041,19571205,10316,    0
121041,19571206,10260,    0
121041,19571207,10139,    0
121041,19571208, 9916,    0
121041,19571209, 9952,    0
121041,19571210,10053,    0
121041,19571211, 9927,    0
121041,19571212, 9892,    0
121041,19571213, 9886,    0
121041,19571214, 9986,    0
121041,19571215,10166,    0
121041,19571216,10233,    0
121041,19571217,10223,    0
121041,19571218,10218,    0
121041,19571219,10271,    0
121041,19571220,10326,    0
121041,19571221,10285,    0
121041,19571222,10242,    0
121041,19571223,10120,    0
121041,19571224,10113,    0
121041,19571225,10188,    0
121041,19571226,10279,    0
121041,19571227,10288,    0
121041,19571228,10212,    0
121041,19571229,10155,    0
121041,19571230,10081,    0
121041,19571231,10072,    0
121041,19580101,10040,    0
121041,19580102,10115,    0
121041,19580103,10263,    0
121041,19580104,10247,    0
121041,19580105,10043,    0
121041,19580106, 9965,    0
121041,19580107, 9926,    0
121041,19580108,10160,    0
121041,19580109,10022,    0
121041,19580110,10013,    0
121041,19580111, 9818,    0
121041,19580112, 9972,    0
121041,19580113,10160,    0
121041,19580114,10279,    0
121041,19580115,10345,    0
121041,19580116,10359,    0
