EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 QQ   : global radiation in W/m2
23-27 Q_QQ : Quality code for QQ (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 210447)
See file sources.txt for more info.



 SOUID,    DATE,   QQ, Q_QQ
210447,19570101,-9999,    9
210447,19570102,-9999,    9
210447,19570103,-9999,    9
210447,19570104,-9999,    9
210447,19570105,-9999,    9
210447,19570106,-9999,    9
210447,19570107,-9999,    9
210447,19570108,-9999,    9
210447,19570109,-9999,    9
210447,19570110,-9999,    9
210447,19570111,-9999,    9
210447,19570112,-9999,    9
210447,19570113,-9999,    9
210447,19570114,-9999,    9
210447,19570115,-9999,    9
210447,19570116,-9999,    9
210447,19570117,-9999,    9
210447,19570118,-9999,    9
210447,19570119,-9999,    9
210447,19570120,-9999,    9
210447,19570121,-9999,    9
210447,19570122,-9999,    9
210447,19570123,-9999,    9
210447,19570124,-9999,    9
210447,19570125,-9999,    9
210447,19570126,-9999,    9
210447,19570127,-9999,    9
210447,19570128,-9999,    9
210447,19570129,-9999,    9
210447,19570130,-9999,    9
210447,19570131,-9999,    9
210447,19570201,-9999,    9
210447,19570202,-9999,    9
210447,19570203,-9999,    9
210447,19570204,-9999,    9
210447,19570205,-9999,    9
210447,19570206,-9999,    9
210447,19570207,-9999,    9
210447,19570208,-9999,    9
210447,19570209,-9999,    9
210447,19570210,-9999,    9
210447,19570211,-9999,    9
210447,19570212,-9999,    9
210447,19570213,-9999,    9
210447,19570214,-9999,    9
210447,19570215,-9999,    9
210447,19570216,-9999,    9
210447,19570217,-9999,    9
210447,19570218,-9999,    9
210447,19570219,-9999,    9
210447,19570220,-9999,    9
210447,19570221,-9999,    9
210447,19570222,-9999,    9
210447,19570223,-9999,    9
210447,19570224,-9999,    9
210447,19570225,-9999,    9
210447,19570226,-9999,    9
210447,19570227,-9999,    9
210447,19570228,-9999,    9
210447,19570301,-9999,    9
210447,19570302,-9999,    9
210447,19570303,-9999,    9
210447,19570304,-9999,    9
210447,19570305,-9999,    9
210447,19570306,-9999,    9
210447,19570307,-9999,    9
210447,19570308,-9999,    9
210447,19570309,-9999,    9
210447,19570310,-9999,    9
210447,19570311,-9999,    9
210447,19570312,-9999,    9
210447,19570313,-9999,    9
210447,19570314,-9999,    9
210447,19570315,-9999,    9
210447,19570316,-9999,    9
210447,19570317,-9999,    9
210447,19570318,-9999,    9
210447,19570319,-9999,    9
210447,19570320,-9999,    9
210447,19570321,-9999,    9
210447,19570322,-9999,    9
210447,19570323,-9999,    9
210447,19570324,-9999,    9
210447,19570325,-9999,    9
210447,19570326,-9999,    9
210447,19570327,-9999,    9
210447,19570328,-9999,    9
210447,19570329,-9999,    9
210447,19570330,-9999,    9
210447,19570331,-9999,    9
210447,19570401,-9999,    9
210447,19570402,-9999,    9
210447,19570403,-9999,    9
210447,19570404,-9999,    9
210447,19570405,-9999,    9
210447,19570406,-9999,    9
210447,19570407,-9999,    9
210447,19570408,-9999,    9
210447,19570409,-9999,    9
210447,19570410,-9999,    9
210447,19570411,-9999,    9
210447,19570412,-9999,    9
210447,19570413,-9999,    9
210447,19570414,-9999,    9
210447,19570415,-9999,    9
210447,19570416,-9999,    9
210447,19570417,-9999,    9
210447,19570418,-9999,    9
210447,19570419,-9999,    9
210447,19570420,-9999,    9
210447,19570421,-9999,    9
210447,19570422,-9999,    9
210447,19570423,-9999,    9
210447,19570424,-9999,    9
210447,19570425,-9999,    9
210447,19570426,-9999,    9
210447,19570427,-9999,    9
210447,19570428,-9999,    9
210447,19570429,-9999,    9
210447,19570430,-9999,    9
210447,19570501,-9999,    9
210447,19570502,-9999,    9
210447,19570503,-9999,    9
210447,19570504,-9999,    9
210447,19570505,-9999,    9
210447,19570506,-9999,    9
210447,19570507,-9999,    9
210447,19570508,-9999,    9
210447,19570509,-9999,    9
210447,19570510,-9999,    9
210447,19570511,-9999,    9
210447,19570512,-9999,    9
210447,19570513,-9999,    9
210447,19570514,-9999,    9
210447,19570515,-9999,    9
210447,19570516,-9999,    9
210447,19570517,-9999,    9
210447,19570518,-9999,    9
210447,19570519,-9999,    9
210447,19570520,-9999,    9
210447,19570521,-9999,    9
210447,19570522,-9999,    9
