EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : sunshine in 0.1 Hours
23-27 Q_SS : Quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121040)
See file sources.txt for more info.



 SOUID,    DATE,   SS, Q_SS
121040,19570701,-9999,    9
121040,19570702,-9999,    9
121040,19570703,-9999,    9
121040,19570704,-9999,    9
121040,19570705,-9999,    9
121040,19570706,-9999,    9
121040,19570707,-9999,    9
121040,19570708,-9999,    9
121040,19570709,-9999,    9
121040,19570710,-9999,    9
121040,19570711,-9999,    9
121040,19570712,-9999,    9
121040,19570713,-9999,    9
121040,19570714,-9999,    9
121040,19570715,-9999,    9
121040,19570716,-9999,    9
121040,19570717,-9999,    9
121040,19570718,-9999,    9
121040,19570719,-9999,    9
121040,19570720,-9999,    9
121040,19570721,-9999,    9
121040,19570722,-9999,    9
121040,19570723,-9999,    9
121040,19570724,-9999,    9
121040,19570725,-9999,    9
121040,19570726,-9999,    9
121040,19570727,-9999,    9
121040,19570728,-9999,    9
121040,19570729,-9999,    9
121040,19570730,-9999,    9
121040,19570731,-9999,    9
121040,19570801,-9999,    9
121040,19570802,-9999,    9
121040,19570803,-9999,    9
121040,19570804,-9999,    9
121040,19570805,-9999,    9
121040,19570806,-9999,    9
121040,19570807,-9999,    9
121040,19570808,-9999,    9
121040,19570809,-9999,    9
121040,19570810,-9999,    9
121040,19570811,-9999,    9
121040,19570812,-9999,    9
121040,19570813,-9999,    9
121040,19570814,-9999,    9
121040,19570815,-9999,    9
121040,19570816,-9999,    9
121040,19570817,-9999,    9
121040,19570818,-9999,    9
121040,19570819,-9999,    9
121040,19570820,-9999,    9
121040,19570821,-9999,    9
121040,19570822,-9999,    9
121040,19570823,-9999,    9
121040,19570824,-9999,    9
121040,19570825,-9999,    9
121040,19570826,-9999,    9
121040,19570827,-9999,    9
121040,19570828,-9999,    9
121040,19570829,-9999,    9
121040,19570830,-9999,    9
121040,19570831,-9999,    9
121040,19570901,-9999,    9
121040,19570902,-9999,    9
121040,19570903,-9999,    9
121040,19570904,-9999,    9
121040,19570905,-9999,    9
121040,19570906,-9999,    9
121040,19570907,-9999,    9
121040,19570908,-9999,    9
121040,19570909,-9999,    9
121040,19570910,-9999,    9
121040,19570911,-9999,    9
121040,19570912,-9999,    9
121040,19570913,-9999,    9
121040,19570914,-9999,    9
121040,19570915,-9999,    9
121040,19570916,-9999,    9
121040,19570917,-9999,    9
121040,19570918,-9999,    9
121040,19570919,-9999,    9
121040,19570920,-9999,    9
121040,19570921,-9999,    9
121040,19570922,-9999,    9
121040,19570923,-9999,    9
121040,19570924,-9999,    9
121040,19570925,-9999,    9
121040,19570926,-9999,    9
121040,19570927,-9999,    9
121040,19570928,-9999,    9
121040,19570929,-9999,    9
121040,19570930,-9999,    9
121040,19571001,   49,    0
121040,19571002,   30,    0
121040,19571003,    0,    0
121040,19571004,   56,    0
121040,19571005,   14,    0
121040,19571006,    0,    0
121040,19571007,   76,    0
121040,19571008,   92,    0
121040,19571009,   92,    0
121040,19571010,   44,    0
121040,19571011,   19,    0
121040,19571012,    0,    0
121040,19571013,   29,    0
121040,19571014,   46,    0
121040,19571015,   35,    0
121040,19571016,   79,    0
121040,19571017,   21,    0
121040,19571018,   47,    0
121040,19571019,    0,    0
121040,19571020,   75,    0
121040,19571021,    1,    0
121040,19571022,   13,    0
121040,19571023,   29,    0
121040,19571024,    0,    0
121040,19571025,   40,    0
121040,19571026,   43,    0
121040,19571027,   38,    0
121040,19571028,    0,    0
121040,19571029,    0,    0
121040,19571030,   29,    0
121040,19571031,    0,    0
121040,19571101,   41,    0
121040,19571102,   64,    0
121040,19571103,   50,    0
121040,19571104,    0,    0
121040,19571105,    0,    0
121040,19571106,    4,    0
121040,19571107,    0,    0
121040,19571108,    0,    0
121040,19571109,    0,    0
121040,19571110,    0,    0
121040,19571111,    0,    0
121040,19571112,    0,    0
121040,19571113,    3,    0
121040,19571114,    0,    0
121040,19571115,   43,    0
121040,19571116,   27,    0
121040,19571117,   40,    0
121040,19571118,   14,    0
121040,19571119,    0,    0
121040,19571120,    0,    0
121040,19571121,    4,    0
121040,19571122,    0,    0
121040,19571123,    0,    0
121040,19571124,    1,    0
121040,19571125,    0,    0
121040,19571126,    0,    0
121040,19571127,    0,    0
121040,19571128,    0,    0
121040,19571129,    0,    0
121040,19571130,   76,    0
121040,19571201,   74,    0
121040,19571202,    0,    0
121040,19571203,    0,    0
121040,19571204,    0,    0
121040,19571205,    0,    0
121040,19571206,   36,    0
121040,19571207,    0,    0
121040,19571208,    2,    0
121040,19571209,    0,    0
121040,19571210,    9,    0
121040,19571211,    0,    0
121040,19571212,    0,    0
121040,19571213,    0,    0
121040,19571214,    0,    0
121040,19571215,    0,    0
121040,19571216,    0,    0
121040,19571217,    0,    0
121040,19571218,    0,    0
121040,19571219,    0,    0
121040,19571220,   51,    0
121040,19571221,    0,    0
121040,19571222,   32,    0
121040,19571223,    0,    0
121040,19571224,   29,    0
121040,19571225,    0,    0
121040,19571226,   56,    0
121040,19571227,    0,    0
121040,19571228,    0,    0
121040,19571229,    1,    0
121040,19571230,    0,    0
121040,19571231,    0,    0
121040,19580101,    0,    0
121040,19580102,    0,    0
121040,19580103,   29,    0
121040,19580104,    0,    0
121040,19580105,    0,    0
121040,19580106,    1,    0
121040,19580107,    0,    0
121040,19580108,    0,    0
121040,19580109,    0,    0
121040,19580110,   33,    0
121040,19580111,    3,    0
121040,19580112,    0,    0
121040,19580113,    0,    0
121040,19580114,    0,    0
121040,19580115,    0,    0
121040,19580116,    0,    0
121040,19580117,    0,    0
121040,19580118,    2,    0
121040,19580119,    0,    0
121040,19580120,   17,    0
121040,19580121,    0,    0
121040,19580122,   43,    0
121040,19580123,   64,    0
121040,19580124,    0,    0
121040,19580125,   56,    0
121040,19580126,    0,    0
121040,19580127,    0,    0
121040,19580128,   83,    0
121040,19580129,   80,    0
121040,19580130,   69,    0
121040,19580131,   58,    0
121040,19580201,    2,    0
121040,19580202,   52,    0
121040,19580203,   23,    0
121040,19580204,   17,    0
121040,19580205,    0,    0
121040,19580206,    9,    0
121040,19580207,   19,    0
121040,19580208,    3,    0
121040,19580209,   46,    0
121040,19580210,   54,    0
121040,19580211,    0,    0
121040,19580212,    0,    0
121040,19580213,   40,    0
121040,19580214,   45,    0
121040,19580215,   24,    0
