EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 14-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121042)
See file sources.txt for more info.



 SOUID,    DATE,   RR, Q_RR
121042,19310101,   93,    0
121042,19310102,   10,    0
121042,19310103,   83,    0
121042,19310104,    5,    0
121042,19310105,    6,    0
121042,19310106,    0,    0
121042,19310107,    0,    0
121042,19310108,    0,    0
121042,19310109,    0,    0
121042,19310110,    0,    0
121042,19310111,    0,    0
121042,19310112,   40,    0
121042,19310113,   25,    0
121042,19310114,   24,    0
121042,19310115,   22,    0
121042,19310116,   35,    0
121042,19310117,   63,    0
121042,19310118,   30,    0
121042,19310119,   10,    0
121042,19310120,   25,    0
121042,19310121,    0,    0
121042,19310122,    0,    0
121042,19310123,    0,    0
121042,19310124,   17,    0
121042,19310125,    6,    0
121042,19310126,   30,    0
121042,19310127,    4,    0
121042,19310128,   25,    0
121042,19310129,   30,    0
121042,19310130,   93,    0
121042,19310131,    0,    0
121042,19310201,    0,    0
121042,19310202,   60,    0
121042,19310203,    8,    0
121042,19310204,    0,    0
121042,19310205,    0,    0
121042,19310206,    0,    0
121042,19310207,    0,    0
121042,19310208,    0,    0
121042,19310209,   47,    0
121042,19310210,   11,    0
121042,19310211,   22,    0
121042,19310212,    6,    0
121042,19310213,   10,    0
121042,19310214,    0,    0
121042,19310215,    6,    0
121042,19310216,   25,    0
121042,19310217,   30,    0
121042,19310218,   40,    0
121042,19310219,    0,    0
121042,19310220,    0,    0
121042,19310221,   52,    0
121042,19310222,    0,    0
121042,19310223,    0,    0
121042,19310224,    0,    0
121042,19310225,   72,    0
121042,19310226,   38,    0
121042,19310227,    5,    0
121042,19310228,   40,    0
121042,19310301,   14,    0
121042,19310302,    0,    0
121042,19310303,    0,    0
121042,19310304,    0,    0
121042,19310305,    0,    0
121042,19310306,    0,    0
121042,19310307,    0,    0
121042,19310308,    0,    0
121042,19310309,    0,    0
121042,19310310,    0,    0
121042,19310311,    0,    0
121042,19310312,    0,    0
121042,19310313,    0,    0
121042,19310314,    0,    0
121042,19310315,    0,    0
121042,19310316,    0,    0
121042,19310317,    0,    0
121042,19310318,    0,    0
121042,19310319,    0,    0
121042,19310320,    0,    0
121042,19310321,   18,    0
121042,19310322,   73,    0
121042,19310323,    0,    0
121042,19310324,    0,    0
121042,19310325,    0,    0
121042,19310326,    0,    0
121042,19310327,    0,    0
121042,19310328,    8,    0
121042,19310329,    0,    0
121042,19310330,    0,    0
121042,19310331,    0,    0
121042,19310401,    0,    0
121042,19310402,    0,    0
121042,19310403,    0,    0
121042,19310404,   40,    0
121042,19310405,   77,    0
121042,19310406,   12,    0
121042,19310407,    0,    0
121042,19310408,    0,    0
121042,19310409,   10,    0
121042,19310410,    7,    0
121042,19310411,    0,    0
121042,19310412,    7,    0
121042,19310413,    4,    0
121042,19310414,   12,    0
121042,19310415,   40,    0
121042,19310416,  100,    0
121042,19310417,  130,    0
121042,19310418,    0,    0
121042,19310419,    0,    0
121042,19310420,    0,    0
121042,19310421,    0,    0
121042,19310422,   18,    0
121042,19310423,    0,    0
121042,19310424,    0,    0
121042,19310425,   50,    0
121042,19310426,   20,    0
121042,19310427,   83,    0
121042,19310428,   46,    0
121042,19310429,   20,    0
121042,19310430,    0,    0
121042,19310501,    0,    0
121042,19310502,    2,    0
121042,19310503,    5,    0
121042,19310504,    0,    0
121042,19310505,    0,    0
121042,19310506,   51,    0
121042,19310507,  170,    0
121042,19310508,    0,    0
121042,19310509,    0,    0
121042,19310510,    0,    0
121042,19310511,    0,    0
121042,19310512,    0,    0
121042,19310513,    0,    0
121042,19310514,    0,    0
121042,19310515,   85,    0
121042,19310516,    0,    0
121042,19310517,    4,    0
121042,19310518,    0,    0
121042,19310519,    0,    0
121042,19310520,    0,    0
121042,19310521,    0,    0
121042,19310522,    8,    0
121042,19310523,    0,    0
121042,19310524,    0,    0
121042,19310525,    0,    0
121042,19310526,    0,    0
121042,19310527,    0,    0
121042,19310528,    0,    0
121042,19310529,    0,    0
121042,19310530,   50,    0
121042,19310531,   25,    0
121042,19310601,    2,    0
121042,19310602,   11,    0
121042,19310603,    0,    0
121042,19310604,    0,    0
121042,19310605,   46,    0
121042,19310606,   55,    0
121042,19310607,  130,    0
121042,19310608,    0,    0
121042,19310609,  191,    0
121042,19310610,    0,    0
121042,19310611,    0,    0
121042,19310612,    0,    0
121042,19310613,    0,    0
121042,19310614,    7,    0
121042,19310615,    0,    0
121042,19310616,    0,    0
121042,19310617,   33,    0
121042,19310618,    2,    0
121042,19310619,   98,    0
121042,19310620,    0,    0
121042,19310621,    0,    0
121042,19310622,    0,    0
121042,19310623,    0,    0
121042,19310624,    0,    0
121042,19310625,    0,    0
121042,19310626,    0,    0
121042,19310627,    0,    0
121042,19310628,    0,    0
121042,19310629,    0,    0
121042,19310630,    0,    0
121042,19310701,    0,    0
121042,19310702,    0,    0
121042,19310703,   20,    0
121042,19310704,    0,    0
121042,19310705,    0,    0
121042,19310706,   33,    0
121042,19310707,    0,    0
121042,19310708,    0,    0
121042,19310709,    0,    0
121042,19310710,   20,    0
121042,19310711,    0,    0
121042,19310712,    0,    0
121042,19310713,    0,    0
121042,19310714,   70,    0
121042,19310715,   13,    0
121042,19310716,   22,    0
121042,19310717,  122,    0
121042,19310718,    0,    0
121042,19310719,   40,    0
121042,19310720,   14,    0
121042,19310721,    5,    0
121042,19310722,    0,    0
121042,19310723,    0,    0
121042,19310724,    5,    0
121042,19310725,  226,    0
121042,19310726,    0,    0
121042,19310727,   14,    0
121042,19310728,   21,    0
121042,19310729,    0,    0
121042,19310730,    4,    0
121042,19310731,    0,    0
121042,19310801,    0,    0
121042,19310802,    0,    0
121042,19310803,  125,    0
121042,19310804,   52,    0
121042,19310805,  134,    0
121042,19310806,  166,    0
121042,19310807,   78,    0
121042,19310808,   11,    0
121042,19310809,    3,    0
121042,19310810,   95,    0
121042,19310811,   18,    0
121042,19310812,   53,    0
121042,19310813,    0,    0
121042,19310814,  162,    0
121042,19310815,    7,    0
121042,19310816,   43,    0
121042,19310817,   30,    0
121042,19310818,    8,    0
121042,19310819,   64,    0
121042,19310820,   16,    0
121042,19310821,  107,    0
121042,19310822,   15,    0
121042,19310823,    0,    0
121042,19310824,   92,    0
121042,19310825,   84,    0
121042,19310826,    0,    0
121042,19310827,    0,    0
121042,19310828,    0,    0
121042,19310829,    0,    0
121042,19310830,    0,    0
121042,19310831,    0,    0
121042,19310901,  167,    0
121042,19310902,    1,    0
121042,19310903,   13,    0
121042,19310904,   25,    0
121042,19310905,   10,    0
121042,19310906,  100,    0
121042,19310907,    5,    0
121042,19310908,    0,    0
121042,19310909,    0,    0
121042,19310910,    0,    0
121042,19310911,    0,    0
121042,19310912,   55,    0
121042,19310913,   12,    0
121042,19310914,    0,    0
121042,19310915,    0,    0
121042,19310916,    0,    0
121042,19310917,   37,    0
121042,19310918,    0,    0
121042,19310919,    1,    0
121042,19310920,    5,    0
121042,19310921,   66,    0
121042,19310922,    0,    0
121042,19310923,    0,    0
121042,19310924,   10,    0
121042,19310925,    4,    0
121042,19310926,    0,    0
121042,19310927,    0,    0
121042,19310928,   42,    0
121042,19310929,    0,    0
121042,19310930,    0,    0
121042,19311001,    0,    0
121042,19311002,   17,    0
121042,19311003,    0,    0
121042,19311004,    0,    0
121042,19311005,    0,    0
121042,19311006,   10,    0
121042,19311007,   65,    0
121042,19311008,    6,    0
121042,19311009,    0,    0
121042,19311010,    0,    0
121042,19311011,    0,    0
121042,19311012,    0,    0
121042,19311013,    0,    0
121042,19311014,    0,    0
121042,19311015,    0,    0
121042,19311016,    0,    0
121042,19311017,    0,    0
121042,19311018,    0,    0
121042,19311019,    0,    0
121042,19311020,   15,    0
121042,19311021,    7,    0
121042,19311022,   92,    0
121042,19311023,    0,    0
121042,19311024,   71,    0
121042,19311025,    0,    0
121042,19311026,    0,    0
121042,19311027,    0,    0
121042,19311028,   28,    0
121042,19311029,   68,    0
121042,19311030,   17,    0
121042,19311031,    0,    0
121042,19311101,    0,    0
121042,19311102,    0,    0
121042,19311103,    0,    0
121042,19311104,    0,    0
121042,19311105,   11,    0
121042,19311106,    0,    0
121042,19311107,    5,    0
121042,19311108,    0,    0
121042,19311109,    5,    0
121042,19311110,    0,    0
121042,19311111,   20,    0
121042,19311112,   14,    0
121042,19311113,    0,    0
121042,19311114,    0,    0
121042,19311115,    0,    0
121042,19311116,    0,    0
121042,19311117,    0,    0
121042,19311118,    0,    0
121042,19311119,    0,    0
121042,19311120,    0,    0
121042,19311121,    0,    0
121042,19311122,    0,    0
121042,19311123,    0,    0
121042,19311124,   52,    0
121042,19311125,   32,    0
121042,19311126,   47,    0
121042,19311127,   10,    0
121042,19311128,   38,    0
121042,19311129,    0,    0
121042,19311130,    0,    0
121042,19311201,    0,    0
121042,19311202,    0,    0
121042,19311203,  102,    0
121042,19311204,   20,    0
121042,19311205,   18,    0
121042,19311206,    0,    0
121042,19311207,    0,    0
121042,19311208,  128,    0
121042,19311209,   80,    0
121042,19311210,   24,    0
121042,19311211,    0,    0
121042,19311212,    9,    0
121042,19311213,   10,    0
121042,19311214,    0,    0
121042,19311215,    3,    0
121042,19311216,    0,    0
121042,19311217,    0,    0
121042,19311218,    0,    0
121042,19311219,   28,    0
121042,19311220,    0,    0
121042,19311221,    0,    0
121042,19311222,    0,    0
121042,19311223,    0,    0
121042,19311224,   37,    0
121042,19311225,   24,    0
121042,19311226,   18,    0
121042,19311227,    0,    0
121042,19311228,   50,    0
121042,19311229,    0,    0
121042,19311230,    9,    0
121042,19311231,    0,    0
121042,19320101,   30,    0
121042,19320102,   65,    0
121042,19320103,   20,    0
121042,19320104,    3,    0
121042,19320105,    6,    0
121042,19320106,  121,    0
121042,19320107,    6,    0
121042,19320108,   22,    0
121042,19320109,    0,    0
121042,19320110,    0,    0
121042,19320111,    0,    0
121042,19320112,    0,    0
121042,19320113,   45,    0
121042,19320114,    0,    0
121042,19320115,    0,    0
121042,19320116,    0,    0
121042,19320117,    0,    0
121042,19320118,    0,    0
121042,19320119,    0,    0
121042,19320120,    0,    0
121042,19320121,    0,    0
121042,19320122,    0,    0
121042,19320123,    0,    0
121042,19320124,    0,    0
121042,19320125,    0,    0
121042,19320126,    0,    0
121042,19320127,    0,    0
121042,19320128,    0,    0
121042,19320129,    0,    0
121042,19320130,    9,    0
121042,19320131,    0,    0
121042,19320201,    9,    0
121042,19320202,   10,    0
121042,19320203,    7,    0
121042,19320204,    8,    0
121042,19320205,    0,    0
121042,19320206,    0,    0
121042,19320207,    0,    0
121042,19320208,   15,    0
121042,19320209,    8,    0
121042,19320210,    0,    0
121042,19320211,    0,    0
121042,19320212,    0,    0
121042,19320213,    0,    0
121042,19320214,    0,    0
121042,19320215,    9,    0
121042,19320216,    0,    0
121042,19320217,    0,    0
121042,19320218,    0,    0
121042,19320219,    7,    0
121042,19320220,    0,    0
121042,19320221,   12,    0
121042,19320222,   13,    0
121042,19320223,   70,    0
121042,19320224,   13,    0
121042,19320225,    0,    0
121042,19320226,    0,    0
121042,19320227,    0,    0
121042,19320228,    0,    0
121042,19320229,    0,    0
121042,19320301,    0,    0
121042,19320302,    0,    0
121042,19320303,    0,    0
121042,19320304,    0,    0
121042,19320305,    0,    0
121042,19320306,    0,    0
121042,19320307,  155,    0
121042,19320308,    5,    0
121042,19320309,    0,    0
121042,19320310,    0,    0
121042,19320311,    0,    0
121042,19320312,    0,    0
121042,19320313,    0,    0
121042,19320314,    0,    0
121042,19320315,    0,    0
121042,19320316,    0,    0
121042,19320317,    0,    0
121042,19320318,    0,    0
121042,19320319,    0,    0
121042,19320320,    0,    0
121042,19320321,    0,    0
121042,19320322,    0,    0
121042,19320323,    0,    0
121042,19320324,    0,    0
121042,19320325,    0,    0
