EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 14-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : minimum temperature in 0.1 &#176;C
23-27 Q_TN : Quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121045)
See file sources.txt for more info.



 SOUID,    DATE,   TN, Q_TN
121045,19570701,-9999,    9
121045,19570702,-9999,    9
121045,19570703,-9999,    9
121045,19570704,-9999,    9
121045,19570705,-9999,    9
121045,19570706,-9999,    9
121045,19570707,-9999,    9
121045,19570708,-9999,    9
121045,19570709,-9999,    9
121045,19570710,-9999,    9
121045,19570711,-9999,    9
121045,19570712,-9999,    9
121045,19570713,-9999,    9
121045,19570714,-9999,    9
121045,19570715,-9999,    9
121045,19570716,-9999,    9
121045,19570717,-9999,    9
121045,19570718,-9999,    9
121045,19570719,-9999,    9
121045,19570720,-9999,    9
121045,19570721,-9999,    9
121045,19570722,-9999,    9
121045,19570723,-9999,    9
121045,19570724,-9999,    9
121045,19570725,-9999,    9
121045,19570726,-9999,    9
121045,19570727,-9999,    9
121045,19570728,-9999,    9
121045,19570729,-9999,    9
121045,19570730,-9999,    9
121045,19570731,-9999,    9
121045,19570801,-9999,    9
121045,19570802,-9999,    9
121045,19570803,-9999,    9
121045,19570804,-9999,    9
121045,19570805,-9999,    9
121045,19570806,-9999,    9
121045,19570807,-9999,    9
121045,19570808,-9999,    9
121045,19570809,-9999,    9
121045,19570810,-9999,    9
121045,19570811,-9999,    9
121045,19570812,-9999,    9
121045,19570813,-9999,    9
121045,19570814,-9999,    9
121045,19570815,-9999,    9
121045,19570816,-9999,    9
121045,19570817,-9999,    9
121045,19570818,-9999,    9
121045,19570819,-9999,    9
121045,19570820,-9999,    9
121045,19570821,-9999,    9
121045,19570822,-9999,    9
121045,19570823,-9999,    9
121045,19570824,-9999,    9
121045,19570825,-9999,    9
121045,19570826,-9999,    9
121045,19570827,-9999,    9
121045,19570828,-9999,    9
121045,19570829,-9999,    9
121045,19570830,-9999,    9
121045,19570831,-9999,    9
121045,19570901,  119,    0
121045,19570902,  105,    0
121045,19570903,   57,    0
121045,19570904,   60,    0
121045,19570905,  110,    0
121045,19570906,  130,    0
121045,19570907,  120,    0
121045,19570908,  123,    0
121045,19570909,  116,    0
121045,19570910,   93,    0
121045,19570911,  138,    0
121045,19570912,  104,    0
121045,19570913,   74,    0
121045,19570914,   79,    0
121045,19570915,   88,    0
121045,19570916,   83,    0
121045,19570917,   76,    0
121045,19570918,  122,    0
121045,19570919,  120,    0
121045,19570920,  105,    0
121045,19570921,  114,    0
121045,19570922,  140,    0
121045,19570923,  152,    0
121045,19570924,   78,    0
121045,19570925,   54,    0
121045,19570926,   59,    0
121045,19570927,   18,    0
121045,19570928,  104,    0
121045,19570929,   70,    0
121045,19570930,    4,    0
121045,19571001,   19,    0
121045,19571002,   14,    0
121045,19571003,    9,    0
121045,19571004,   23,    0
121045,19571005,   -8,    0
121045,19571006,   92,    0
121045,19571007,   75,    0
121045,19571008,   24,    0
121045,19571009,   43,    0
121045,19571010,   94,    0
121045,19571011,   70,    0
121045,19571012,   64,    0
121045,19571013,   54,    0
121045,19571014,   76,    0
121045,19571015,   42,    0
121045,19571016,   69,    0
121045,19571017,  109,    0
121045,19571018,  125,    0
121045,19571019,   94,    0
121045,19571020,   44,    0
121045,19571021,   28,    0
121045,19571022,   59,    0
121045,19571023,   30,    0
121045,19571024,   89,    0
121045,19571025,   86,    0
121045,19571026,   38,    0
121045,19571027,   56,    0
121045,19571028,   79,    0
121045,19571029,  101,    0
121045,19571030,  103,    0
121045,19571031,   88,    0
121045,19571101,   77,    0
121045,19571102,   48,    0
121045,19571103,   36,    0
121045,19571104,  114,    0
121045,19571105,  105,    0
121045,19571106,   75,    0
121045,19571107,   52,    0
121045,19571108,   36,    0
121045,19571109,   39,    0
121045,19571110,   56,    0
121045,19571111,   73,    0
121045,19571112,   48,    0
121045,19571113,   34,    0
