SOUID,DATE,QQ,Q_QQ
210447,01/10/1957,11.1,0
210447,02/10/1957,8.9,0
210447,03/10/1957,3.5,0
210447,04/10/1957,11.4,0
210447,05/10/1957,6.5,0
210447,06/10/1957,3.3,0
210447,07/10/1957,12.7,0
210447,08/10/1957,13.8,0
210447,09/10/1957,13.6,0
210447,10/10/1957,9.4,0
210447,11/10/1957,6.6,0
210447,12/10/1957,3,0
210447,13/10/1957,7.6,0
210447,14/10/1957,9.1,0
210447,15/10/1957,8,0
210447,16/10/1957,11.5,0
210447,17/10/1957,6.3,0
210447,18/10/1957,8.7,0
210447,19/10/1957,2.7,0
210447,20/10/1957,10.6,0
210447,21/10/1957,3,0
210447,22/10/1957,5,0
210447,23/10/1957,6.6,0
210447,24/10/1957,2.5,0
210447,25/10/1957,7.3,0
210447,26/10/1957,7.5,0
210447,27/10/1957,7,0
210447,28/10/1957,2.3,0
210447,29/10/1957,2.3,0
210447,30/10/1957,5.9,0
210447,31/10/1957,2.2,0
210447,01/11/1957,6.7,0
210447,02/11/1957,8.2,0
210447,03/11/1957,7.1,0
210447,04/11/1957,2.1,0
210447,05/11/1957,2,0
210447,06/11/1957,2.9,0
210447,07/11/1957,2,0
210447,08/11/1957,1.9,0
210447,09/11/1957,1.9,0
210447,10/11/1957,1.9,0
210447,11/11/1957,1.8,0
210447,12/11/1957,1.8,0
210447,13/11/1957,2.4,0
210447,14/11/1957,1.7,0
210447,15/11/1957,5.6,0
210447,16/11/1957,4.5,0
210447,17/11/1957,5.3,0
210447,18/11/1957,3.4,0
210447,19/11/1957,1.6,0
210447,20/11/1957,1.6,0
210447,21/11/1957,2.3,0
210447,22/11/1957,1.5,0
210447,23/11/1957,1.5,0
210447,24/11/1957,1.8,0
210447,25/11/1957,1.5,0
210447,26/11/1957,1.5,0
210447,27/11/1957,1.4,0
210447,28/11/1957,1.4,0
210447,29/11/1957,1.4,0
210447,30/11/1957,6.3,0
210447,01/12/1957,5.9,0
210447,02/12/1957,1.3,0
210447,03/12/1957,1.3,0
210447,04/12/1957,1.3,0
210447,05/12/1957,1.3,0
210447,06/12/1957,4,0
210447,07/12/1957,1.2,0
210447,08/12/1957,1.6,0
210447,09/12/1957,1.2,0
210447,10/12/1957,2.2,0
210447,11/12/1957,1.2,0
210447,12/12/1957,1.2,0
210447,13/12/1957,1.2,0
210447,14/12/1957,1.2,0
210447,15/12/1957,1.2,0
210447,16/12/1957,1.2,0
210447,17/12/1957,1.2,0
210447,18/12/1957,1.2,0
210447,19/12/1957,1.2,0
210447,20/12/1957,4.4,0
210447,21/12/1957,1.2,0
210447,22/12/1957,3.6,0
210447,23/12/1957,1.2,0
210447,24/12/1957,3.4,0
210447,25/12/1957,1.2,0
210447,26/12/1957,4.7,0
210447,27/12/1957,1.2,0
210447,28/12/1957,1.2,0
210447,29/12/1957,1.4,0
210447,30/12/1957,1.2,0
210447,31/12/1957,1.2,0
210447,01/01/1958,1.2,0
210447,02/01/1958,1.2,0
210447,03/01/1958,3.6,0
210447,04/01/1958,1.3,0
210447,05/01/1958,1.3,0
210447,06/01/1958,1.5,0
