SOUID,DATE,RR,Q_RR
121042,01/01/1931,9.3,0
121042,02/01/1931,1,0
121042,03/01/1931,8.3,0
121042,04/01/1931,0.5,0
121042,05/01/1931,0.6,0
121042,06/01/1931,0,0
121042,07/01/1931,0,0
121042,08/01/1931,0,0
121042,09/01/1931,0,0
121042,10/01/1931,0,0
121042,11/01/1931,0,0
121042,12/01/1931,4,0
121042,13/01/1931,2.5,0
121042,14/01/1931,2.4,0
121042,15/01/1931,2.2,0
121042,16/01/1931,3.5,0
121042,17/01/1931,6.3,0
121042,18/01/1931,3,0
121042,19/01/1931,1,0
121042,20/01/1931,2.5,0
121042,21/01/1931,0,0
121042,22/01/1931,0,0
121042,23/01/1931,0,0
121042,24/01/1931,1.7,0
121042,25/01/1931,0.6,0
121042,26/01/1931,3,0
121042,27/01/1931,0.4,0
121042,28/01/1931,2.5,0
121042,29/01/1931,3,0
121042,30/01/1931,9.3,0
121042,31/01/1931,0,0
121042,01/02/1931,0,0
121042,02/02/1931,6,0
121042,03/02/1931,0.8,0
121042,04/02/1931,0,0
121042,05/02/1931,0,0
121042,06/02/1931,0,0
121042,07/02/1931,0,0
121042,08/02/1931,0,0
121042,09/02/1931,4.7,0
121042,10/02/1931,1.1,0
121042,11/02/1931,2.2,0
121042,12/02/1931,0.6,0
121042,13/02/1931,1,0
121042,14/02/1931,0,0
121042,15/02/1931,0.6,0
121042,16/02/1931,2.5,0
121042,17/02/1931,3,0
121042,18/02/1931,4,0
121042,19/02/1931,0,0
121042,20/02/1931,0,0
121042,21/02/1931,5.2,0
121042,22/02/1931,0,0
121042,23/02/1931,0,0
121042,24/02/1931,0,0
121042,25/02/1931,7.2,0
121042,26/02/1931,3.8,0
121042,27/02/1931,0.5,0
121042,28/02/1931,4,0
121042,01/03/1931,1.4,0
121042,02/03/1931,0,0
121042,03/03/1931,0,0
121042,04/03/1931,0,0
121042,05/03/1931,0,0
121042,06/03/1931,0,0
121042,07/03/1931,0,0
121042,08/03/1931,0,0
121042,09/03/1931,0,0
121042,10/03/1931,0,0
121042,11/03/1931,0,0
121042,12/03/1931,0,0
121042,13/03/1931,0,0
121042,14/03/1931,0,0
121042,15/03/1931,0,0
121042,16/03/1931,0,0
121042,17/03/1931,0,0
121042,18/03/1931,0,0
121042,19/03/1931,0,0
121042,20/03/1931,0,0
121042,21/03/1931,1.8,0
121042,22/03/1931,7.3,0
121042,23/03/1931,0,0
121042,24/03/1931,0,0
121042,25/03/1931,0,0
121042,26/03/1931,0,0
121042,27/03/1931,0,0
121042,28/03/1931,0.8,0
121042,29/03/1931,0,0
121042,30/03/1931,0,0
121042,31/03/1931,0,0
121042,01/04/1931,0,0
121042,02/04/1931,0,0
121042,03/04/1931,0,0
121042,04/04/1931,4,0
121042,05/04/1931,7.7,0
121042,06/04/1931,1.2,0
121042,07/04/1931,0,0
121042,08/04/1931,0,0
121042,09/04/1931,1,0
121042,10/04/1931,0.7,0
121042,11/04/1931,0,0
121042,12/04/1931,0.7,0
121042,13/04/1931,0.4,0
121042,14/04/1931,1.2,0
121042,15/04/1931,4,0
121042,16/04/1931,10,0
121042,17/04/1931,13,0
121042,18/04/1931,0,0
121042,19/04/1931,0,0
121042,20/04/1931,0,0
121042,21/04/1931,0,0
121042,22/04/1931,1.8,0
121042,23/04/1931,0,0
121042,24/04/1931,0,0
121042,25/04/1931,5,0
121042,26/04/1931,2,0
121042,27/04/1931,8.3,0
121042,28/04/1931,4.6,0
121042,29/04/1931,2,0
121042,30/04/1931,0,0
121042,01/05/1931,0,0
121042,02/05/1931,0.2,0
121042,03/05/1931,0.5,0
121042,04/05/1931,0,0
121042,05/05/1931,0,0
121042,06/05/1931,5.1,0
121042,07/05/1931,17,0
121042,08/05/1931,0,0
121042,09/05/1931,0,0
121042,10/05/1931,0,0
121042,11/05/1931,0,0
121042,12/05/1931,0,0
121042,13/05/1931,0,0
121042,14/05/1931,0,0
121042,15/05/1931,8.5,0
121042,16/05/1931,0,0
121042,17/05/1931,0.4,0
121042,18/05/1931,0,0
121042,19/05/1931,0,0
121042,20/05/1931,0,0
121042,21/05/1931,0,0
121042,22/05/1931,0.8,0
121042,23/05/1931,0,0
121042,24/05/1931,0,0
121042,25/05/1931,0,0
121042,26/05/1931,0,0
121042,27/05/1931,0,0
121042,28/05/1931,0,0
121042,29/05/1931,0,0
121042,30/05/1931,5,0
121042,31/05/1931,2.5,0
121042,01/06/1931,0.2,0
121042,02/06/1931,1.1,0
121042,03/06/1931,0,0
121042,04/06/1931,0,0
121042,05/06/1931,4.6,0
121042,06/06/1931,5.5,0
121042,07/06/1931,13,0
121042,08/06/1931,0,0
121042,09/06/1931,19.1,0
121042,10/06/1931,0,0
121042,11/06/1931,0,0
121042,12/06/1931,0,0
121042,13/06/1931,0,0
121042,14/06/1931,0.7,0
121042,15/06/1931,0,0
121042,16/06/1931,0,0
121042,17/06/1931,3.3,0
121042,18/06/1931,0.2,0
121042,19/06/1931,9.8,0
121042,20/06/1931,0,0
121042,21/06/1931,0,0
121042,22/06/1931,0,0
121042,23/06/1931,0,0
121042,24/06/1931,0,0
121042,25/06/1931,0,0
121042,26/06/1931,0,0
121042,27/06/1931,0,0
121042,28/06/1931,0,0
121042,29/06/1931,0,0
121042,30/06/1931,0,0
121042,01/07/1931,0,0
121042,02/07/1931,0,0
121042,03/07/1931,2,0
121042,04/07/1931,0,0
121042,05/07/1931,0,0
121042,06/07/1931,3.3,0
121042,07/07/1931,0,0
121042,08/07/1931,0,0
121042,09/07/1931,0,0
121042,10/07/1931,2,0
121042,11/07/1931,0,0
121042,12/07/1931,0,0
121042,13/07/1931,0,0
121042,14/07/1931,7,0
121042,15/07/1931,1.3,0
121042,16/07/1931,2.2,0
121042,17/07/1931,12.2,0
121042,18/07/1931,0,0
121042,19/07/1931,4,0
121042,20/07/1931,1.4,0
121042,21/07/1931,0.5,0
121042,22/07/1931,0,0
121042,23/07/1931,0,0
121042,24/07/1931,0.5,0
121042,25/07/1931,22.6,0
121042,26/07/1931,0,0
121042,27/07/1931,1.4,0
121042,28/07/1931,2.1,0
121042,29/07/1931,0,0
121042,30/07/1931,0.4,0
121042,31/07/1931,0,0
121042,01/08/1931,0,0
121042,02/08/1931,0,0
121042,03/08/1931,12.5,0
121042,04/08/1931,5.2,0
121042,05/08/1931,13.4,0
121042,06/08/1931,16.6,0
121042,07/08/1931,7.8,0
121042,08/08/1931,1.1,0
121042,09/08/1931,0.3,0
121042,10/08/1931,9.5,0
121042,11/08/1931,1.8,0
121042,12/08/1931,5.3,0
121042,13/08/1931,0,0
121042,14/08/1931,16.2,0
121042,15/08/1931,0.7,0
121042,16/08/1931,4.3,0
121042,17/08/1931,3,0
121042,18/08/1931,0.8,0
121042,19/08/1931,6.4,0
121042,20/08/1931,1.6,0
121042,21/08/1931,10.7,0
121042,22/08/1931,1.5,0
121042,23/08/1931,0,0
121042,24/08/1931,9.2,0
121042,25/08/1931,8.4,0
121042,26/08/1931,0,0
121042,27/08/1931,0,0
121042,28/08/1931,0,0
121042,29/08/1931,0,0
121042,30/08/1931,0,0
121042,31/08/1931,0,0
121042,01/09/1931,16.7,0
121042,02/09/1931,0.1,0
121042,03/09/1931,1.3,0
121042,04/09/1931,2.5,0
121042,05/09/1931,1,0
121042,06/09/1931,10,0
121042,07/09/1931,0.5,0
121042,08/09/1931,0,0
121042,09/09/1931,0,0
121042,10/09/1931,0,0
121042,11/09/1931,0,0
121042,12/09/1931,5.5,0
121042,13/09/1931,1.2,0
121042,14/09/1931,0,0
121042,15/09/1931,0,0
121042,16/09/1931,0,0
121042,17/09/1931,3.7,0
121042,18/09/1931,0,0
121042,19/09/1931,0.1,0
121042,20/09/1931,0.5,0
121042,21/09/1931,6.6,0
121042,22/09/1931,0,0
121042,23/09/1931,0,0
121042,24/09/1931,1,0
121042,25/09/1931,0.4,0
121042,26/09/1931,0,0
121042,27/09/1931,0,0
121042,28/09/1931,4.2,0
121042,29/09/1931,0,0
121042,30/09/1931,0,0
121042,01/10/1931,0,0
121042,02/10/1931,1.7,0
121042,03/10/1931,0,0
121042,04/10/1931,0,0
121042,05/10/1931,0,0
121042,06/10/1931,1,0
121042,07/10/1931,6.5,0
121042,08/10/1931,0.6,0
121042,09/10/1931,0,0
121042,10/10/1931,0,0
121042,11/10/1931,0,0
121042,12/10/1931,0,0
121042,13/10/1931,0,0
121042,14/10/1931,0,0
121042,15/10/1931,0,0
121042,16/10/1931,0,0
121042,17/10/1931,0,0
121042,18/10/1931,0,0
121042,19/10/1931,0,0
121042,20/10/1931,1.5,0
121042,21/10/1931,0.7,0
121042,22/10/1931,9.2,0
121042,23/10/1931,0,0
121042,24/10/1931,7.1,0
121042,25/10/1931,0,0
121042,26/10/1931,0,0
121042,27/10/1931,0,0
121042,28/10/1931,2.8,0
121042,29/10/1931,6.8,0
121042,30/10/1931,1.7,0
121042,31/10/1931,0,0
121042,01/11/1931,0,0
121042,02/11/1931,0,0
121042,03/11/1931,0,0
121042,04/11/1931,0,0
121042,05/11/1931,1.1,0
121042,06/11/1931,0,0
121042,07/11/1931,0.5,0
121042,08/11/1931,0,0
121042,09/11/1931,0.5,0
