SOUID,DATE,TG,Q_TG
121044,01/09/1957,14.4,0
121044,02/09/1957,13.2,0
121044,03/09/1957,12.3,0
121044,04/09/1957,12.6,0
121044,05/09/1957,16.4,0
121044,06/09/1957,15.8,0
121044,07/09/1957,20.6,0
121044,08/09/1957,14.2,0
121044,09/09/1957,13.7,0
121044,10/09/1957,16.1,0
121044,11/09/1957,16.6,0
121044,12/09/1957,12.4,0
121044,13/09/1957,9.6,0
121044,14/09/1957,10.3,0
121044,15/09/1957,10.8,0
121044,16/09/1957,10,0
121044,17/09/1957,12.6,0
121044,18/09/1957,13.4,0
121044,19/09/1957,14.4,0
121044,20/09/1957,15.4,0
121044,21/09/1957,16.7,0
121044,22/09/1957,17.8,0
121044,23/09/1957,16.4,0
121044,24/09/1957,10,0
121044,25/09/1957,10.7,0
121044,26/09/1957,9.4,0
121044,27/09/1957,11.1,0
121044,28/09/1957,13.3,0
121044,29/09/1957,9.2,0
121044,30/09/1957,7.7,0
121044,01/10/1957,5.6,0
121044,02/10/1957,5.7,0
121044,03/10/1957,8.3,0
121044,04/10/1957,5.8,0
121044,05/10/1957,9.3,0
121044,06/10/1957,10.8,0
121044,07/10/1957,10.6,0
121044,08/10/1957,10.5,0
121044,09/10/1957,11,0
121044,10/10/1957,11.1,0
121044,11/10/1957,13.2,0
121044,12/10/1957,10.6,0
121044,13/10/1957,9.7,0
121044,14/10/1957,10.2,0
121044,15/10/1957,10.8,0
121044,16/10/1957,13.9,0
121044,17/10/1957,13.9,0
121044,18/10/1957,17.4,0
121044,19/10/1957,10.5,0
121044,20/10/1957,7.7,0
121044,21/10/1957,10,0
121044,22/10/1957,7.7,0
121044,23/10/1957,8.4,0
121044,24/10/1957,11.3,0
121044,25/10/1957,11.6,0
121044,26/10/1957,8.4,0
121044,27/10/1957,11.2,0
121044,28/10/1957,10.7,0
121044,29/10/1957,12.6,0
121044,30/10/1957,12.7,0
121044,31/10/1957,12.4,0
121044,01/11/1957,9.6,0
121044,02/11/1957,7.9,0
121044,03/11/1957,10.9,0
121044,04/11/1957,14,0
121044,05/11/1957,11.7,0
121044,06/11/1957,9,0
121044,07/11/1957,6.5,0
121044,08/11/1957,6.6,0
121044,09/11/1957,5.3,0
121044,10/11/1957,7.4,0
121044,11/11/1957,10.4,0
121044,12/11/1957,7.9,0
121044,13/11/1957,5.8,0
121044,14/11/1957,3.8,0
121044,15/11/1957,6.1,0
121044,16/11/1957,8.2,0
121044,17/11/1957,4.5,0
121044,18/11/1957,4,0
121044,19/11/1957,3.6,0
121044,20/11/1957,2.5,0
121044,21/11/1957,1.7,0
121044,22/11/1957,0.3,0
121044,23/11/1957,3.2,0
121044,24/11/1957,4.6,0
121044,25/11/1957,4,0
121044,26/11/1957,6.2,0
121044,27/11/1957,7.6,0
121044,28/11/1957,8.4,0
121044,29/11/1957,5.7,0
121044,30/11/1957,-1.6,0
121044,01/12/1957,-4,0
121044,02/12/1957,-1,0
121044,03/12/1957,-0.7,0
121044,04/12/1957,1.2,0
121044,05/12/1957,3.2,0
121044,06/12/1957,0.7,0
121044,07/12/1957,1.4,0
121044,08/12/1957,9,0
121044,09/12/1957,4.2,0
121044,10/12/1957,0.5,0
121044,11/12/1957,2.8,0
121044,12/12/1957,3.4,0
121044,13/12/1957,4.2,0
121044,14/12/1957,0.7,0
121044,15/12/1957,-0.8,0
121044,16/12/1957,-1.9,0
121044,17/12/1957,-2.2,0
121044,18/12/1957,-1,0
121044,19/12/1957,1.2,0
121044,20/12/1957,3.3,0
121044,21/12/1957,5.4,0
121044,22/12/1957,4.4,0
121044,23/12/1957,4.1,0
121044,24/12/1957,5.3,0
121044,25/12/1957,2.1,0
121044,26/12/1957,-0.7,0
121044,27/12/1957,2.5,0
121044,28/12/1957,4.5,0
121044,29/12/1957,5.6,0
121044,30/12/1957,6.4,0
121044,31/12/1957,6.6,0
121044,01/01/1958,7.6,0
121044,02/01/1958,-0.6,0
121044,03/01/1958,-3.8,0
121044,04/01/1958,-1.4,0
121044,05/01/1958,5.3,0
121044,06/01/1958,7.4,0
121044,07/01/1958,3.9,0
121044,08/01/1958,4,0
121044,09/01/1958,6.8,0
121044,10/01/1958,5,0
121044,11/01/1958,5.7,0
121044,12/01/1958,2.2,0
121044,13/01/1958,3.4,0
121044,14/01/1958,1.5,0
121044,15/01/1958,0.3,0
121044,16/01/1958,1.6,0
121044,17/01/1958,5,0
121044,18/01/1958,4.2,0
121044,19/01/1958,1.4,0
121044,20/01/1958,0.6,0
121044,21/01/1958,0.7,0
121044,22/01/1958,-0.6,0
121044,23/01/1958,-2.2,0
121044,24/01/1958,-1.1,0
121044,25/01/1958,-2.2,0
121044,26/01/1958,0.2,0
121044,27/01/1958,3.3,0
121044,28/01/1958,1,0
121044,29/01/1958,1.4,0
121044,30/01/1958,2.4,0
121044,31/01/1958,1.6,0
121044,01/02/1958,0.2,0
121044,02/02/1958,3.1,0
121044,03/02/1958,3.4,0
121044,04/02/1958,3,0
121044,05/02/1958,6.2,0
121044,06/02/1958,1.3,0
121044,07/02/1958,-0.6,0
121044,08/02/1958,5.2,0
121044,09/02/1958,6.6,0
121044,10/02/1958,12.7,0
121044,11/02/1958,10.1,0
121044,12/02/1958,10.5,0
121044,13/02/1958,10,0
121044,14/02/1958,14,0
121044,15/02/1958,13.8,0
121044,16/02/1958,8.1,0
121044,17/02/1958,2.2,0
121044,18/02/1958,-0.2,0
121044,19/02/1958,1.7,0
121044,20/02/1958,5.7,0
121044,21/02/1958,4.3,0
121044,22/02/1958,0.8,0
121044,23/02/1958,1.6,0
121044,24/02/1958,4.4,0
121044,25/02/1958,8.2,0
121044,26/02/1958,-3.4,0
121044,27/02/1958,-6.3,0
121044,28/02/1958,-1.7,0
121044,01/03/1958,-0.4,0
121044,02/03/1958,2.2,0
121044,03/03/1958,2.8,0
121044,04/03/1958,2.6,0
121044,05/03/1958,5.6,0
121044,06/03/1958,3.5,0
121044,07/03/1958,-0.4,0
121044,08/03/1958,0.2,0
121044,09/03/1958,-1.3,0
121044,10/03/1958,-2.8,0
121044,11/03/1958,-3.3,0
121044,12/03/1958,-2.8,0
121044,13/03/1958,-0.2,0
121044,14/03/1958,-0.9,0
121044,15/03/1958,-2,0
121044,16/03/1958,-1.7,0
121044,17/03/1958,-0.4,0
121044,18/03/1958,0.2,0
121044,19/03/1958,-0.1,0
121044,20/03/1958,-1,0
121044,21/03/1958,-1.4,0
121044,22/03/1958,-3,0
121044,23/03/1958,-2.4,0
121044,24/03/1958,2.9,0
121044,25/03/1958,6.9,0
121044,26/03/1958,9.8,0
121044,27/03/1958,11.4,0
121044,28/03/1958,11.7,0
121044,29/03/1958,10,0
121044,30/03/1958,9,0
121044,31/03/1958,4,0
121044,01/04/1958,1.9,0
121044,02/04/1958,-1.1,0
121044,03/04/1958,8.1,0
121044,04/04/1958,10.5,0
121044,05/04/1958,4.8,0
121044,06/04/1958,4.6,0
121044,07/04/1958,4.4,0
121044,08/04/1958,3.6,0
121044,09/04/1958,2.6,0
121044,10/04/1958,0.2,0
121044,11/04/1958,1.9,0
121044,12/04/1958,3.6,0
121044,13/04/1958,6.6,0
121044,14/04/1958,10.2,0
121044,15/04/1958,10.8,0
121044,16/04/1958,5.7,0
121044,17/04/1958,3.1,0
121044,18/04/1958,6.2,0
121044,19/04/1958,11,0
121044,20/04/1958,10.8,0
121044,21/04/1958,10.4,0
121044,22/04/1958,7.3,0
121044,23/04/1958,7.9,0
121044,24/04/1958,11.2,0
121044,25/04/1958,8.8,0
121044,26/04/1958,9.6,0
121044,27/04/1958,7.6,0
121044,28/04/1958,8.8,0
121044,29/04/1958,9.2,0
121044,30/04/1958,11.8,0
121044,01/05/1958,14.7,0
121044,02/05/1958,13.5,0
121044,03/05/1958,10.4,0
121044,04/05/1958,7.8,0
121044,05/05/1958,15.9,0
121044,06/05/1958,14.8,0
121044,07/05/1958,12.8,0
121044,08/05/1958,16,0
121044,09/05/1958,17.4,0
121044,10/05/1958,17.2,0
121044,11/05/1958,11.8,0
121044,12/05/1958,10.6,0
121044,13/05/1958,13.8,0
121044,14/05/1958,14.3,0
121044,15/05/1958,11.7,0
121044,16/05/1958,9.9,0
121044,17/05/1958,10.8,0
121044,18/05/1958,14.6,0
121044,19/05/1958,15.4,0
121044,20/05/1958,18.4,0
121044,21/05/1958,11.8,0
121044,22/05/1958,14,0
121044,23/05/1958,16.3,0
121044,24/05/1958,15.2,0
121044,25/05/1958,14.9,0
121044,26/05/1958,14.6,0
121044,27/05/1958,13.6,0
121044,28/05/1958,12,0
121044,29/05/1958,15,0
121044,30/05/1958,13.9,0
121044,31/05/1958,15.4,0
121044,01/06/1958,19.6,0
121044,02/06/1958,22,0
121044,03/06/1958,15.5,0
121044,04/06/1958,12.2,0
121044,05/06/1958,15.1,0
121044,06/06/1958,17.3,0
121044,07/06/1958,17.1,0
121044,08/06/1958,16,0
121044,09/06/1958,15.6,0
121044,10/06/1958,13.2,0
121044,11/06/1958,14,0
121044,12/06/1958,11.2,0
121044,13/06/1958,13.5,0
121044,14/06/1958,14,0
121044,15/06/1958,17,0
121044,16/06/1958,19.8,0
121044,17/06/1958,20.6,0
121044,18/06/1958,13.1,0
121044,19/06/1958,15.3,0
121044,20/06/1958,14.4,0
121044,21/06/1958,13.8,0
121044,22/06/1958,14.1,0
121044,23/06/1958,14.1,0
121044,24/06/1958,13,0
121044,25/06/1958,15.8,0
121044,26/06/1958,15.4,0
121044,27/06/1958,13.6,0
