SOUID,DATE,TN,Q_TN
121045,01/09/1957,11.9,0
121045,02/09/1957,10.5,0
121045,03/09/1957,5.7,0
121045,04/09/1957,6,0
121045,05/09/1957,11,0
121045,06/09/1957,13,0
121045,07/09/1957,12,0
121045,08/09/1957,12.3,0
121045,09/09/1957,11.6,0
121045,10/09/1957,9.3,0
121045,11/09/1957,13.8,0
121045,12/09/1957,10.4,0
121045,13/09/1957,7.4,0
121045,14/09/1957,7.9,0
121045,15/09/1957,8.8,0
121045,16/09/1957,8.3,0
121045,17/09/1957,7.6,0
121045,18/09/1957,12.2,0
121045,19/09/1957,12,0
121045,20/09/1957,10.5,0
121045,21/09/1957,11.4,0
121045,22/09/1957,14,0
121045,23/09/1957,15.2,0
121045,24/09/1957,7.8,0
121045,25/09/1957,5.4,0
121045,26/09/1957,5.9,0
121045,27/09/1957,1.8,0
121045,28/09/1957,10.4,0
121045,29/09/1957,7,0
121045,30/09/1957,0.4,0
121045,01/10/1957,1.9,0
121045,02/10/1957,1.4,0
121045,03/10/1957,0.9,0
121045,04/10/1957,2.3,0
121045,05/10/1957,-0.8,0
121045,06/10/1957,9.2,0
121045,07/10/1957,7.5,0
121045,08/10/1957,2.4,0
121045,09/10/1957,4.3,0
121045,10/10/1957,9.4,0
121045,11/10/1957,7,0
121045,12/10/1957,6.4,0
121045,13/10/1957,5.4,0
121045,14/10/1957,7.6,0
121045,15/10/1957,4.2,0
121045,16/10/1957,6.9,0
121045,17/10/1957,10.9,0
121045,18/10/1957,12.5,0
121045,19/10/1957,9.4,0
121045,20/10/1957,4.4,0
121045,21/10/1957,2.8,0
121045,22/10/1957,5.9,0
121045,23/10/1957,3,0
121045,24/10/1957,8.9,0
121045,25/10/1957,8.6,0
121045,26/10/1957,3.8,0
121045,27/10/1957,5.6,0
121045,28/10/1957,7.9,0
121045,29/10/1957,10.1,0
121045,30/10/1957,10.3,0
121045,31/10/1957,8.8,0
121045,01/11/1957,7.7,0
121045,02/11/1957,4.8,0
121045,03/11/1957,3.6,0
121045,04/11/1957,11.4,0
121045,05/11/1957,10.5,0
121045,06/11/1957,7.5,0
121045,07/11/1957,5.2,0
121045,08/11/1957,3.6,0
121045,09/11/1957,3.9,0
121045,10/11/1957,5.6,0
121045,11/11/1957,7.3,0
121045,12/11/1957,4.8,0
121045,13/11/1957,3.4,0
121045,14/11/1957,2.2,0
121045,15/11/1957,3,0
121045,16/11/1957,5.2,0
121045,17/11/1957,1.4,0
121045,18/11/1957,-1.8,0
121045,19/11/1957,3.1,0
121045,20/11/1957,0.9,0
121045,21/11/1957,-1,0
121045,22/11/1957,-0.4,0
121045,23/11/1957,0.3,0
121045,24/11/1957,0.5,0
121045,25/11/1957,-0.8,0
121045,26/11/1957,4.1,0
121045,27/11/1957,5.4,0
121045,28/11/1957,7.2,0
121045,29/11/1957,1.7,0
121045,30/11/1957,-4.9,0
121045,01/12/1957,-7.2,0
121045,02/12/1957,-8.9,0
121045,03/12/1957,-3.3,0
121045,04/12/1957,-3.5,0
121045,05/12/1957,0.8,0
121045,06/12/1957,-3.3,0
121045,07/12/1957,-1.1,0
121045,08/12/1957,1.5,0
121045,09/12/1957,2,0
121045,10/12/1957,-2.3,0
121045,11/12/1957,-2,0
121045,12/12/1957,0.1,0
121045,13/12/1957,1.5,0
121045,14/12/1957,-0.3,0
121045,15/12/1957,-4.1,0
121045,16/12/1957,-4.3,0
121045,17/12/1957,-2.8,0
121045,18/12/1957,-3,0
121045,19/12/1957,-2,0
121045,20/12/1957,-4.1,0
121045,21/12/1957,3.9,0
121045,22/12/1957,2.5,0
121045,23/12/1957,0.4,0
121045,24/12/1957,2.8,0
121045,25/12/1957,-2,0
121045,26/12/1957,-3.2,0
121045,27/12/1957,-4,0
121045,28/12/1957,2.5,0
121045,29/12/1957,1.1,0
121045,30/12/1957,5.5,0
121045,31/12/1957,4.5,0
121045,01/01/1958,6.4,0
121045,02/01/1958,-3.6,0
121045,03/01/1958,-7.6,0
121045,04/01/1958,-6.5,0
121045,05/01/1958,-1.4,0
121045,06/01/1958,-0.3,0
121045,07/01/1958,1.6,0
121045,08/01/1958,1.2,0
121045,09/01/1958,4.2,0
121045,10/01/1958,3.8,0
121045,11/01/1958,3.7,0
121045,12/01/1958,1.6,0
121045,13/01/1958,0.9,0
121045,14/01/1958,0.8,0
121045,15/01/1958,0,0
121045,16/01/1958,0,0
121045,17/01/1958,2,0
121045,18/01/1958,0.4,0
121045,19/01/1958,-0.7,0
121045,20/01/1958,-1.2,0
121045,21/01/1958,-1.2,0
121045,22/01/1958,-1.7,0
121045,23/01/1958,-8.4,0
121045,24/01/1958,-5.6,0
121045,25/01/1958,-9.2,0
121045,26/01/1958,-2,0
121045,27/01/1958,0.3,0
121045,28/01/1958,-1.4,0
121045,29/01/1958,-2.1,0
121045,30/01/1958,-4.5,0
121045,31/01/1958,-1.3,0
121045,01/02/1958,-3.2,0
121045,02/02/1958,-4.8,0
121045,03/02/1958,1.6,0
121045,04/02/1958,-4.2,0
121045,05/02/1958,3.2,0
121045,06/02/1958,0.4,0
121045,07/02/1958,-1.6,0
121045,08/02/1958,-1.6,0
121045,09/02/1958,-0.1,0
121045,10/02/1958,6,0
121045,11/02/1958,8.8,0
121045,12/02/1958,8.4,0
121045,13/02/1958,5.2,0
121045,14/02/1958,10.1,0
121045,15/02/1958,11.6,0
121045,16/02/1958,5.5,0
121045,17/02/1958,1,0
121045,18/02/1958,-1,0
121045,19/02/1958,-0.8,0
121045,20/02/1958,2.2,0
121045,21/02/1958,2,0
121045,22/02/1958,-0.6,0
121045,23/02/1958,-4.6,0
121045,24/02/1958,0.4,0
121045,25/02/1958,6.3,0
121045,26/02/1958,-4.6,0
121045,27/02/1958,-12.8,0
121045,28/02/1958,-9.6,0
121045,01/03/1958,-5.3,0
121045,02/03/1958,-5,0
121045,03/03/1958,2,0
121045,04/03/1958,0.6,0
121045,05/03/1958,1.5,0
121045,06/03/1958,1.6,0
121045,07/03/1958,-1.7,0
121045,08/03/1958,-1.1,0
121045,09/03/1958,-2.3,0
121045,10/03/1958,-4.8,0
121045,11/03/1958,-9.6,0
121045,12/03/1958,-7,0
121045,13/03/1958,-5.5,0
121045,14/03/1958,-3.9,0
121045,15/03/1958,-9.4,0
121045,16/03/1958,-7.4,0
121045,17/03/1958,-6.7,0
121045,18/03/1958,-5.2,0
121045,19/03/1958,-1.1,0
121045,20/03/1958,-2.2,0
121045,21/03/1958,-4.3,0
121045,22/03/1958,-7.1,0
121045,23/03/1958,-9.6,0
121045,24/03/1958,-6,0
121045,25/03/1958,0.8,0
121045,26/03/1958,5,0
121045,27/03/1958,7.9,0
121045,28/03/1958,8,0
121045,29/03/1958,7.4,0
121045,30/03/1958,1.6,0
121045,31/03/1958,1.8,0
121045,01/04/1958,-2.2,0
121045,02/04/1958,-5.2,0
121045,03/04/1958,-5.8,0
121045,04/04/1958,5.3,0
121045,05/04/1958,2.6,0
121045,06/04/1958,0.3,0
121045,07/04/1958,2.3,0
121045,08/04/1958,1.8,0
121045,09/04/1958,0.5,0
121045,10/04/1958,-0.7,0
121045,11/04/1958,-4.6,0
121045,12/04/1958,-0.6,0
121045,13/04/1958,-4.4,0
121045,14/04/1958,-2.7,0
121045,15/04/1958,5.8,0
121045,16/04/1958,3.8,0
121045,17/04/1958,0,0
121045,18/04/1958,-1.5,0
121045,19/04/1958,5.2,0
121045,20/04/1958,6.5,0
121045,21/04/1958,4,0
121045,22/04/1958,2,0
121045,23/04/1958,-2.6,0
121045,24/04/1958,1.3,0
121045,25/04/1958,7.6,0
121045,26/04/1958,3.9,0
121045,27/04/1958,5.4,0
121045,28/04/1958,0.9,0
121045,29/04/1958,6.6,0
121045,30/04/1958,1.9,0
121045,01/05/1958,3.3,0
121045,02/05/1958,3.9,0
121045,03/05/1958,4.9,0
121045,04/05/1958,-1,0
121045,05/05/1958,4.6,0
121045,06/05/1958,9.5,0
121045,07/05/1958,9,0
121045,08/05/1958,10.5,0
121045,09/05/1958,10.8,0
121045,10/05/1958,12.4,0
121045,11/05/1958,10.2,0
121045,12/05/1958,8.4,0
121045,13/05/1958,6.4,0
121045,14/05/1958,8.6,0
121045,15/05/1958,9.4,0
121045,16/05/1958,7.8,0
121045,17/05/1958,5.6,0
121045,18/05/1958,7.6,0
121045,19/05/1958,12.6,0
121045,20/05/1958,8.8,0
121045,21/05/1958,10,0
121045,22/05/1958,4.4,0
121045,23/05/1958,10.9,0
121045,24/05/1958,11.3,0
