EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 14-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : cloud cover in oktas
23-27 Q_CC : Quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121039)
See file sources.txt for more info.



 SOUID,    DATE,   CC, Q_CC
121039,19570701,-9999,    9
121039,19570702,-9999,    9
121039,19570703,-9999,    9
121039,19570704,-9999,    9
121039,19570705,-9999,    9
121039,19570706,-9999,    9
121039,19570707,-9999,    9
121039,19570708,-9999,    9
121039,19570709,-9999,    9
121039,19570710,-9999,    9
121039,19570711,-9999,    9
121039,19570712,-9999,    9
121039,19570713,-9999,    9
121039,19570714,-9999,    9
121039,19570715,-9999,    9
121039,19570716,-9999,    9
121039,19570717,-9999,    9
121039,19570718,-9999,    9
121039,19570719,-9999,    9
121039,19570720,-9999,    9
121039,19570721,-9999,    9
121039,19570722,-9999,    9
121039,19570723,-9999,    9
121039,19570724,-9999,    9
121039,19570725,-9999,    9
121039,19570726,-9999,    9
121039,19570727,-9999,    9
121039,19570728,-9999,    9
121039,19570729,-9999,    9
121039,19570730,-9999,    9
121039,19570731,-9999,    9
121039,19570801,-9999,    9
121039,19570802,-9999,    9
121039,19570803,-9999,    9
121039,19570804,-9999,    9
121039,19570805,-9999,    9
121039,19570806,-9999,    9
121039,19570807,-9999,    9
121039,19570808,-9999,    9
121039,19570809,-9999,    9
121039,19570810,-9999,    9
121039,19570811,-9999,    9
121039,19570812,-9999,    9
121039,19570813,-9999,    9
121039,19570814,-9999,    9
121039,19570815,-9999,    9
121039,19570816,-9999,    9
121039,19570817,-9999,    9
121039,19570818,-9999,    9
121039,19570819,-9999,    9
121039,19570820,-9999,    9
121039,19570821,-9999,    9
121039,19570822,-9999,    9
121039,19570823,-9999,    9
121039,19570824,-9999,    9
121039,19570825,-9999,    9
121039,19570826,-9999,    9
121039,19570827,-9999,    9
121039,19570828,-9999,    9
121039,19570829,-9999,    9
121039,19570830,-9999,    9
121039,19570831,-9999,    9
121039,19570901,    8,    0
121039,19570902,    6,    0
121039,19570903,    6,    0
121039,19570904,    7,    0
121039,19570905,    7,    0
121039,19570906,    7,    0
121039,19570907,    5,    0
121039,19570908,    8,    0
121039,19570909,    5,    0
121039,19570910,    7,    0
121039,19570911,    7,    0
121039,19570912,    6,    0
121039,19570913,    7,    0
121039,19570914,    8,    0
121039,19570915,    7,    0
121039,19570916,    6,    0
121039,19570917,    8,    0
121039,19570918,    8,    0
121039,19570919,    6,    0
121039,19570920,    4,    0
121039,19570921,    7,    0
121039,19570922,    7,    0
121039,19570923,    6,    0
121039,19570924,    7,    0
121039,19570925,    7,    0
121039,19570926,    3,    0
121039,19570927,    6,    0
121039,19570928,    7,    0
121039,19570929,    6,    0
121039,19570930,    5,    0
121039,19571001,    3,    0
121039,19571002,    5,    0
121039,19571003,    6,    0
121039,19571004,    5,    0
121039,19571005,    6,    0
